label,way_id,start_idx,end_idx,oneway,highway,name,closed_way,result
東京→渋谷,922476294,117,118,yes,secondary,六本木通り,False,forward_travel
東京→渋谷,922476295,118,119,yes,secondary,六本木通り,False,forward_travel
東京→渋谷,56757425,123,124,yes,unclassified,,False,bicycle_exempt
東京→渋谷,310155079,124,131,yes,primary,明治通り,False,forward_travel
東京→渋谷,1087233628,131,133,yes,primary,明治通り,False,forward_travel
東京→渋谷,1117318750,133,137,yes,trunk_link,玉川通り,False,forward_travel
東京→渋谷,1117318761,137,138,yes,trunk_link,玉川通り,False,forward_travel
東京→渋谷,1117318760,138,139,yes,trunk_link,玉川通り,False,forward_travel
東京→渋谷,1117793792,139,140,yes,trunk_link,玉川通り,False,forward_travel
東京→渋谷,1117318753,140,141,yes,tertiary,神宮通り,False,forward_travel
東京→渋谷,87250179,141,142,yes,tertiary,神宮通り,False,forward_travel
東京→渋谷,1379883567,142,143,yes,tertiary,神宮通り,False,forward_travel
東京→渋谷,274499718,143,144,yes,tertiary,神宮通り,False,forward_travel
東京→渋谷,274499723,144,145,yes,tertiary,神宮通り,False,forward_travel
新宿→池袋,39436594,18,21,yes,residential,,False,forward_travel
新宿→池袋,137189954,22,24,yes,residential,,False,forward_travel
新宿→池袋,136938165,30,34,yes,unclassified,,False,forward_travel
新宿→池袋,39436597,34,37,yes,unclassified,新宿中央通り,False,bicycle_exempt
新宿→池袋,886386615,37,39,yes,primary,明治通り,False,forward_travel
新宿→池袋,199152193,39,42,yes,primary,明治通り,False,forward_travel
新宿→池袋,1120796134,42,45,yes,primary,明治通り,False,forward_travel
新宿→池袋,688686080,45,50,yes,primary,明治通り,False,forward_travel
新宿→池袋,688819559,50,51,yes,primary,明治通り,False,forward_travel
新宿→池袋,691691444,51,52,yes,primary,明治通り,False,forward_travel
新宿→池袋,415221604,52,58,yes,primary,明治通り,False,forward_travel
新宿→池袋,688819561,58,61,yes,primary,明治通り,False,forward_travel
新宿→池袋,683237303,61,62,yes,primary,明治通り,False,forward_travel
新宿→池袋,415221602,62,67,yes,primary,明治通り,False,forward_travel
新宿→池袋,156260997,67,68,yes,primary,明治通り,False,forward_travel
新宿→池袋,156260998,68,70,yes,primary,明治通り,False,forward_travel
新宿→池袋,688557393,70,77,yes,primary,明治通り,False,forward_travel
新宿→池袋,648625671,77,86,yes,primary,明治通り,False,forward_travel
新宿→池袋,213526433,86,87,yes,primary,明治通,False,forward_travel
新宿→池袋,1128023036,87,89,yes,primary,明治通,False,forward_travel
