metric_no,record_type,label,road_type,item,value,numerator,denominator,unit,status,detail,source_input
4,category,,,タグ付きoneway未検出:bicycle_exempt,15,15,253,traversal,measured,,fn_candidates_oneway.csv
4,category,,,タグ付きoneway未検出:forward_travel,238,238,253,traversal,measured,,fn_candidates_oneway.csv
4,category,,,タグ付きoneway未検出:short_segment,0,0,253,traversal,measured,,fn_candidates_oneway.csv
4,category,,,タグ付きoneway未検出:tag_fetch_failed,0,0,253,traversal,measured,,fn_candidates_oneway.csv
4,category,,,タグ付きoneway未検出:unknown,0,0,253,traversal,measured,,fn_candidates_oneway.csv
4,summary,,,タグ空間内の未説明未検出,0,0,253,traversal,measured,Recallとは呼ばない。OSMにonewayタグがない実在規制は母集団外,fn_candidates_oneway.csv
4,summary,,,タグ付きoneway通過,254,254,662,traversal,measured,検出1 + 未検出診断253。unique wayは238,fn_candidates_oneway.csv;rerun_260801_summary.md
5,pair,渋谷→新宿,幹線道路中心,R1・R2距離差,848.3,,,m,measured,R1=4439.5m; R2=3591.2m; R1-R2=848.3m; R2分母差率=23.6%,verify_v2_analyze_route.csv;google_comparison.csv
5,pair,東京→渋谷,幹線道路中心,R1・R2距離差,981.4,,,m,measured,R1=8242.5m; R2=7261.1m; R1-R2=981.4m; R2分母差率=13.5%,verify_v2_analyze_route.csv;google_comparison.csv
5,pair,新宿→池袋,幹線道路中心,R1・R2距離差,745.5,,,m,measured,R1=5331.5m; R2=4586.0m; R1-R2=745.5m; R2分母差率=16.3%,verify_v2_analyze_route.csv;google_comparison.csv
5,pair,品川→東京,幹線道路中心,R1・R2距離差,816.3,,,m,measured,R1=7685.9m; R2=6869.6m; R1-R2=816.3m; R2分母差率=11.9%,verify_v2_analyze_route.csv;google_comparison.csv
5,pair,渋谷→六本木,幹線道路中心,R1・R2距離差,546.6,,,m,measured,R1=3409.2m; R2=2862.6m; R1-R2=546.6m; R2分母差率=19.1%,verify_v2_analyze_route.csv;google_comparison.csv
5,pair,下北沢→三軒茶屋,住宅街中心,R1・R2距離差,-7.4,,,m,measured,R1=2233.1m; R2=2240.5m; R1-R2=-7.4m; R2分母差率=-0.3%,verify_v2_analyze_route.csv;google_comparison.csv
5,pair,高円寺→中野,住宅街中心,R1・R2距離差,460.4,,,m,measured,R1=1903.3m; R2=1442.9m; R1-R2=460.4m; R2分母差率=31.9%,verify_v2_analyze_route.csv;google_comparison.csv
5,pair,荻窪→阿佐ヶ谷,住宅街中心,R1・R2距離差,-29.0,,,m,measured,R1=1428.8m; R2=1457.8m; R1-R2=-29.0m; R2分母差率=-2.0%,verify_v2_analyze_route.csv;google_comparison.csv
5,pair,自由が丘→等々力,住宅街中心,R1・R2距離差,-65.4,,,m,measured,R1=2105.7m; R2=2171.1m; R1-R2=-65.4m; R2分母差率=-3.0%,verify_v2_analyze_route.csv;google_comparison.csv
5,pair,浦和→さいたま新都心,住宅街中心,R1・R2距離差,-199.6,,,m,measured,R1=4427.7m; R2=4627.3m; R1-R2=-199.6m; R2分母差率=-4.3%,verify_v2_analyze_route.csv;google_comparison.csv
5,pair,吉祥寺→三鷹,混在型,R1・R2距離差,2299.7,,,m,measured,R1=3988.6m; R2=1688.9m; R1-R2=2299.7m; R2分母差率=136.2%,verify_v2_analyze_route.csv;google_comparison.csv
5,pair,立川→国分寺,混在型,R1・R2距離差,-345.1,,,m,measured,R1=6758.4m; R2=7103.5m; R1-R2=-345.1m; R2分母差率=-4.9%,verify_v2_analyze_route.csv;google_comparison.csv
5,pair,横浜→みなとみらい,混在型,R1・R2距離差,1293.7,,,m,measured,R1=2697.6m; R2=1403.9m; R1-R2=1293.7m; R2分母差率=92.2%,verify_v2_analyze_route.csv;google_comparison.csv
5,pair,川崎→武蔵小杉,混在型,R1・R2距離差,1516.5,,,m,measured,R1=8049.3m; R2=6532.8m; R1-R2=1516.5m; R2分母差率=23.2%,verify_v2_analyze_route.csv;google_comparison.csv
