label,feature_type,osm_key,osm_value,node_id,lat,lng,dist_to_route_m,route_position_m,parent_way_ids,parent_way_highways,direction_tag,tags_json,street_view_url
自由が丘→等々力,踏切_歩道自転車道,railway,crossing,1062454490,35.6085349,139.6474892,4.31,2171.1,91465367,footway,,"{""railway"":""crossing""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6085349,139.6474892"
自由が丘→等々力,踏切_歩道自転車道,railway,crossing,11132311872,35.6085832,139.6472929,19.7,2171.1,285742498,footway,,"{""crossing:barrier"":""yes"",""name"":""等々力1号踏切"",""railway"":""crossing""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6085832,139.6472929"
自由が丘→等々力,踏切_歩道自転車道,railway,crossing,11132311875,35.6084555,139.6474555,13.58,2171.1,91465367,footway,,"{""railway"":""crossing""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6084555,139.6474555"
浦和→さいたま新都心,一時停止,highway,stop,12438301581,35.8690468,139.6502325,1.12,1432.5,100400218,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.8690468,139.6502325"
浦和→さいたま新都心,一時停止,highway,stop,12438301580,35.8691237,139.6501731,1.04,1442.6,100400218,residential,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.8691237,139.6501731"
浦和→さいたま新都心,一時停止,highway,stop,7196414489,35.8852337,139.6400533,4.98,3506.6,95385874,unclassified,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.8852337,139.6400533"
吉祥寺→三鷹,一時停止,highway,stop,13366744340,35.7034799,139.5607731,12.6,1673.8,205040880,service,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.7034799,139.5607731"
立川→国分寺,踏切_車道,railway,level_crossing,1517858200,35.6915664,139.4246775,3.04,1333.5,138427587,tertiary,,"{""crossing:barrier"":""half"",""name"":""向郷踏切"",""railway"":""level_crossing"",""ref"":""86""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6915664,139.4246775"
立川→国分寺,踏切_車道,railway,level_crossing,1517858405,35.6915084,139.4247010,3.51,1335.2,1429406683,tertiary,,"{""crossing:barrier"":""half"",""name"":""向郷踏切"",""railway"":""level_crossing"",""ref"":""86""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6915084,139.4247010"
立川→国分寺,踏切_歩道自転車道,railway,crossing,13330137762,35.6914868,139.4247106,5.95,1335.8,1453544791,footway,,"{""railway"":""crossing""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6914868,139.4247106"
立川→国分寺,踏切_車道,railway,level_crossing,4032122672,35.6915635,139.4247206,2.44,1337.4,138427587,tertiary,,"{""crossing:barrier"":""half"",""name"":""向郷踏切"",""railway"":""level_crossing"",""ref"":""86""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6915635,139.4247206"
立川→国分寺,踏切_車道,railway,level_crossing,4032122671,35.6915080,139.4247437,3.83,1339.0,1429406683,tertiary,,"{""crossing:barrier"":""half"",""name"":""向郷踏切"",""railway"":""level_crossing"",""ref"":""86""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6915080,139.4247437"
立川→国分寺,踏切_歩道自転車道,railway,crossing,13330137763,35.6914849,139.4247540,6.45,1339.7,1453544791,footway,,"{""railway"":""crossing""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6914849,139.4247540"
立川→国分寺,一時停止,highway,stop,13888216707,35.6965933,139.4747373,6.27,6484.9,161953549,residential,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.6965933,139.4747373"
川崎→武蔵小杉,一時停止,highway,stop,12229680648,35.5423172,139.6943228,10.54,1718.3,1321613838,service,backward,"{""direction"":""backward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.5423172,139.6943228"
川崎→武蔵小杉,一時停止,highway,stop,10297920069,35.5448020,139.6890285,8.59,2281.6,1058854790,unclassified,forward,"{""direction"":""forward"",""highway"":""stop""}","https://www.google.com/maps/@?api=1&map_action=pano&viewpoint=35.5448020,139.6890285"
