label,sample_idx,route_idx,lat,lng,candidate_count,node_rank1_way_id,perp_rank1_way_id,perp_rank1_highway,perp_rank1_oneway,perp_rank1_name,rank2_way_id,rank2_highway,rank2_dist_m,match_dist_m,match_margin_m,match_ambiguous,verify_group,known_group_node_rank1,known_group_perp_rank1,oneway_violation,oneway_confidence,oneway_misaligned,diag_angle_deg
新宿→池袋,17,19,35.71551,139.71194,188,97367343,97367343,residential,,,156260998,primary,3.562,0.281,3.281,False,,,,False,0.0,True,66.4
新宿→池袋,18,20,35.71687,139.71251,188,376630575,156260998,primary,yes,明治通り,376630575,footway,3.871,1.647,2.224,False,,,,False,0.0,False,1.3
新宿→池袋,19,21,35.71883,139.71341,188,688557393,688557393,primary,yes,明治通り,376630575,footway,5.313,0.804,4.51,False,,,,False,0.0,False,22.4
新宿→池袋,20,23,35.71985,139.71322,188,37865970,688557393,primary,yes,明治通り,228137437,primary,5.992,0.423,5.568,False,,,,False,0.0,False,22.0
新宿→池袋,21,24,35.7244,139.71135,188,648625671,648625671,primary,yes,明治通り,228180934,primary,3.651,3.575,0.076,True,,,,False,0.0,False,7.3
新宿→池袋,22,25,35.7252,139.71136,188,648625671,228180934,primary,yes,明治通り,648625671,primary,4.482,2.964,1.518,True,想定外,,,True,1.0,False,169.4
新宿→池袋,23,26,35.72704,139.71183,188,156246572,1128023036,primary,yes,明治通,156246572,residential,2.051,1.924,0.127,True,,,,False,0.0,False,15.2
新宿→池袋,24,27,35.7272,139.71112,188,156246572,156246572,residential,yes,,1128023039,footway,2.573,0.87,1.704,True,,,,False,0.0,False,15.7
東京→渋谷,0,0,35.67791,139.76377,342,682973093,1450867353,footway,,,387312965,secondary,5.704,3.744,1.96,True,,,,False,0.0,False,178.4
東京→渋谷,1,1,35.67841,139.76102,342,59266960,59266960,trunk,yes,日比谷通り,387312967,secondary,4.652,0.23,4.422,False,,,,False,0.0,False,33.8
東京→渋谷,2,2,35.67519,139.75985,342,59266960,59266960,trunk,yes,日比谷通り,474593059,footway,8.642,0.259,8.383,False,,,,False,0.0,False,1.0
東京→渋谷,3,4,35.67538,139.75892,342,157191451,157191451,trunk,yes,晴海通り,45171692,primary,7.485,0.82,6.665,False,,,,False,0.0,False,1.3
東京→渋谷,4,5,35.67745,139.75394,342,391703261,206353802,trunk_link,yes,桜田通り,631239776,trunk,1.932,1.721,0.21,True,,,,False,0.0,False,25.7
東京→渋谷,5,6,35.67736,139.75343,342,206353802,206353802,trunk_link,yes,桜田通り,583110309,footway,1.371,0.848,0.523,True,,,,False,0.0,False,44.8
東京→渋谷,6,7,35.67466,139.75165,342,662063657,662063657,footway,,霞ケ関,813532923,trunk,2.332,1.98,0.352,True,,,,False,0.0,False,59.4
東京→渋谷,7,8,35.67293,139.7505,342,243268913,243268913,tertiary,yes,国会通り,813532923,trunk,1.847,0.961,0.886,True,,,,False,0.0,True,84.1
東京→渋谷,8,9,35.67028,139.74934,342,678474455,931757787,trunk,yes,桜田通り,678476157,footway,4.707,1.785,2.923,False,,,,False,0.0,False,3.7
東京→渋谷,9,10,35.669,139.74859,342,431885999,931757787,trunk,yes,桜田通り,474603749,footway,5.756,0.246,5.51,False,,,,False,0.0,False,3.6
東京→渋谷,10,11,35.66449,139.74651,342,931757787,931757787,trunk,yes,桜田通り,474600371,footway,7.123,0.017,7.106,False,,,,False,0.0,False,0.2
東京→渋谷,11,12,35.66321,139.74533,342,253812412,931757787,trunk,yes,桜田通り,683135150,tertiary,2.889,1.843,1.046,True,,,,False,0.0,False,13.0
東京→渋谷,12,13,35.66203,139.74425,342,253812412,253812412,trunk,yes,桜田通り,1192656136,footway,3.747,1.223,2.524,False,,,,False,0.0,False,0.8
東京→渋谷,13,14,35.66078,139.74336,342,204077031,253812412,trunk,yes,桜田通り,474600366,footway,6.021,3.2,2.82,False,,,,False,0.0,False,6.5
東京→渋谷,14,15,35.66019,139.74304,342,1035341897,1035341897,trunk,yes,桜田通り,858775690,trunk,9.9,3.021,6.878,False,,,,False,0.0,False,0.1
東京→渋谷,15,16,35.6598,139.743,342,474601303,858775693,trunk,yes,桜田通り,858775686,primary,2.22,1.34,0.881,True,,B,,False,0.0,False,22.8
東京→渋谷,16,17,35.65947,139.74263,342,19023682,19023682,primary_link,yes,,858775692,primary,4.17,0.238,3.932,False,,,,False,0.0,False,37.4
東京→渋谷,17,18,35.65958,139.7419,342,1254228152,858775692,primary,yes,外苑東通り,1254228152,footway,3.562,0.215,3.348,False,,,,False,0.0,False,0.1
東京→渋谷,18,19,35.66017,139.74041,342,271979254,858775692,primary,yes,外苑東通り,682315373,footway,4.484,0.802,3.682,False,B群,B,,False,0.0,False,4.1
東京→渋谷,19,20,35.66114,139.73794,342,858775692,1344791873,primary,yes,外苑東通り,1344791874,secondary,2.184,0.078,2.106,False,,,,False,0.0,False,1.6
東京→渋谷,20,21,35.66224,139.73429,342,271979231,271979231,primary,yes,外苑東通り,927004529,footway,2.298,0.165,2.133,False,,,,False,0.0,False,0.2
東京→渋谷,21,22,35.66315,139.73238,342,271979227,271979231,primary,yes,外苑東通り,927004516,secondary,3.341,0.943,2.399,False,,,,False,0.0,False,16.6
東京→渋谷,22,23,35.66245,139.73082,342,253067268,927004519,secondary,yes,六本木通り,693373501,footway,7.06,1.025,6.035,False,,,,False,0.0,False,0.2
東京→渋谷,23,24,35.66101,139.72778,342,755562447,888162704,secondary,yes,六本木通り,755562447,footway,3.378,1.327,2.051,False,,,,False,0.0,False,2.8
東京→渋谷,24,25,35.66028,139.72567,342,888162704,888162704,secondary,yes,六本木通り,755562446,footway,4.396,0.17,4.226,False,,,,False,0.0,False,0.6
東京→渋谷,25,26,35.6598,139.72435,342,122928192,122928192,residential,,,261065059,secondary,3.086,0.862,2.224,False,,,,False,0.0,True,77.4
東京→渋谷,26,27,35.65943,139.72214,342,755562443,261065068,secondary,yes,六本木通り,755562443,footway,3.618,1.204,2.414,False,,,,False,0.0,False,4.0
東京→渋谷,27,28,35.65924,139.72,342,261065068,755562444,footway,,,261065068,secondary,5.545,3.488,2.056,False,,,,False,0.0,False,3.8
東京→渋谷,28,29,35.65925,139.71909,342,682312821,935686680,secondary,yes,六本木通り(高樹町),755562444,footway,3.891,2.784,1.106,True,,,,False,0.0,False,1.4
東京→渋谷,29,30,35.65894,139.71543,342,203832853,775539561,secondary,yes,六本木通り,775539562,secondary,3.0,0.861,2.139,False,,,,False,0.0,False,0.1
東京→渋谷,30,31,35.65862,139.71248,342,350053191,922476289,secondary,yes,六本木通り,350053191,tertiary,5.445,1.732,3.713,False,,,,False,0.0,False,0.7
