label,sample_idx,lat,lng,rank1_way_id,rank1_highway,rank1_bicycle,rank1_access,rank1_oneway,rank1_oneway_bicycle,rank1_cycleway,rank1_traversable_by_batch5_filter,rank1_nontraversable_reason,current_rank1_violation,current_rank1_status,historical_node_rank1_way_id,historical_known_group,historical_known_detection_location,batch5_filtered_rank1_way_id,batch5_filtered_rank1_highway,batch5_filtered_margin_m,batch5_nonambiguous_to_ambiguous
新宿→池袋,23,35.72704,139.71183,1128023036,primary,,,yes,,,True,,False,legal_forward,156246572,,False,1128023036,primary,0.127,False
新宿→池袋,24,35.7272,139.71112,156246572,residential,,,yes,,,True,,False,legal_forward,156246572,,False,156246572,residential,63.693,False
東京→渋谷,0,35.67791,139.76377,1450867353,footway,,,,,,False,highway=footway,False,out_of_scope_no_oneway,682973093,,False,387312965,secondary,1.273,False
東京→渋谷,1,35.67841,139.76102,59266960,trunk,,,yes,,,True,,False,legal_forward,59266960,,False,59266960,trunk,4.422,False
東京→渋谷,2,35.67519,139.75985,59266960,trunk,,,yes,,,True,,False,legal_forward,59266960,,False,59266960,trunk,11.781,False
東京→渋谷,3,35.67538,139.75892,157191451,trunk,,,yes,,,True,,False,legal_forward,157191451,,False,157191451,trunk,11.167,False
東京→渋谷,4,35.67745,139.75394,206353802,trunk_link,,,yes,,,True,,False,legal_forward,391703261,,False,206353802,trunk_link,0.21,False
東京→渋谷,5,35.67736,139.75343,206353802,trunk_link,,,yes,,,True,,False,legal_forward,206353802,,False,206353802,trunk_link,3.601,False
東京→渋谷,6,35.67466,139.75165,662063657,footway,,,,,,False,highway=footway,False,out_of_scope_no_oneway,662063657,,False,813532923,trunk,1.023,False
東京→渋谷,7,35.67293,139.7505,243268913,tertiary,,,yes,,,True,,False,out_of_scope_axis_misaligned,243268913,,False,243268913,tertiary,0.886,False
東京→渋谷,8,35.67028,139.74934,931757787,trunk,,yes,yes,,,True,,False,legal_forward,678474455,,False,931757787,trunk,5.008,False
東京→渋谷,9,35.669,139.74859,931757787,trunk,,yes,yes,,,True,,False,legal_forward,431885999,,False,931757787,trunk,8.49,False
東京→渋谷,10,35.66449,139.74651,931757787,trunk,,yes,yes,,,True,,False,legal_forward,931757787,,False,931757787,trunk,9.082,False
東京→渋谷,11,35.66321,139.74533,931757787,trunk,,yes,yes,,,True,,False,legal_forward,253812412,,False,931757787,trunk,1.046,False
東京→渋谷,12,35.66203,139.74425,253812412,trunk,yes,yes,yes,,,True,,False,legal_forward,253812412,,False,253812412,trunk,3.07,False
東京→渋谷,13,35.66078,139.74336,253812412,trunk,yes,yes,yes,,,True,,False,legal_forward,204077031,,False,253812412,trunk,3.759,False
東京→渋谷,14,35.66019,139.74304,1035341897,trunk,yes,yes,yes,,,True,,False,legal_forward,1035341897,,False,1035341897,trunk,6.878,False
東京→渋谷,15,35.6598,139.743,858775693,trunk,yes,yes,yes,,,True,,False,legal_forward,474601303,B,True,858775693,trunk,0.881,False
東京→渋谷,16,35.65947,139.74263,19023682,primary_link,,,yes,,,True,,False,legal_forward,19023682,,False,19023682,primary_link,3.932,False
東京→渋谷,17,35.65958,139.7419,858775692,primary,,,yes,,,True,,False,legal_forward,1254228152,,False,858775692,primary,3.348,False
東京→渋谷,18,35.66017,139.74041,858775692,primary,,,yes,,,True,,False,legal_forward,271979254,B,True,858775692,primary,6.862,False
東京→渋谷,19,35.66114,139.73794,1344791873,primary,,,yes,,,True,,False,legal_forward,858775692,,False,1344791873,primary,2.106,False
東京→渋谷,20,35.66224,139.73429,271979231,primary,,,yes,,,True,,False,legal_forward,271979231,,False,271979231,primary,5.377,False
東京→渋谷,21,35.66315,139.73238,271979231,primary,,,yes,,,True,,False,legal_forward,271979227,,False,271979231,primary,2.399,False
東京→渋谷,22,35.66245,139.73082,927004519,secondary,,,yes,,,True,,False,legal_forward,253067268,,False,927004519,secondary,116.125,False
東京→渋谷,23,35.66101,139.72778,888162704,secondary,,,yes,,,True,,False,legal_forward,755562447,,False,888162704,secondary,10.618,False
東京→渋谷,24,35.66028,139.72567,888162704,secondary,,,yes,,,True,,False,legal_forward,888162704,,False,888162704,secondary,17.228,False
東京→渋谷,25,35.6598,139.72435,122928192,residential,,,,,,True,,False,out_of_scope_axis_misaligned,122928192,,False,122928192,residential,2.224,False
東京→渋谷,26,35.65943,139.72214,261065068,secondary,,,yes,,,True,,False,legal_forward,755562443,,False,261065068,secondary,8.67,False
東京→渋谷,27,35.65924,139.72,755562444,footway,,,,,,False,highway=footway,False,out_of_scope_no_oneway,261065068,,False,261065068,secondary,7.256,False
東京→渋谷,28,35.65925,139.71909,935686680,secondary,,,yes,,,True,,False,legal_forward,682312821,,False,935686680,secondary,2.926,False
東京→渋谷,29,35.65894,139.71543,775539561,secondary,,,yes,,,True,,False,legal_forward,203832853,,False,775539561,secondary,2.139,False
東京→渋谷,30,35.65862,139.71248,922476289,secondary,,,yes,,,True,,False,legal_forward,350053191,,False,922476289,secondary,3.713,False
東京→渋谷,31,35.65823,139.70837,141293470,tertiary,,,,,,True,,False,out_of_scope_no_oneway,141293470,,False,141293470,tertiary,0.546,False
東京→渋谷,32,35.65811,139.70618,284075894,secondary,,,yes,,,True,,False,legal_forward,622021127,,False,284075894,secondary,4.717,False
東京→渋谷,33,35.65805,139.70434,852978896,secondary,,,yes,,,True,,False,legal_forward,853216379,,False,852978896,secondary,0.407,False
東京→渋谷,34,35.65792,139.70353,680253718,pedestrian,,,,,,False,highway=pedestrian,False,out_of_scope_no_oneway,680253718,,False,172125347,trunk,3.105,False
品川→東京,0,35.62877,139.74184,680899281,unclassified,,,yes,,,True,,False,out_of_scope_axis_misaligned,680899281,,False,680899281,unclassified,11.13,False
品川→東京,1,35.6289,139.74222,172281628,unclassified,,,yes,,,True,,False,legal_forward,172281627,,False,172281628,unclassified,13.093,False
品川→東京,2,35.62903,139.74278,172281627,footway,,,,,,False,highway=footway,False,out_of_scope_no_oneway,23690216,A,True,23690216,unclassified,15.66,False
品川→東京,3,35.62949,139.74285,172281624,unclassified,,,,,,True,,False,out_of_scope_no_oneway,172281624,,False,172281624,unclassified,0.834,False
品川→東京,4,35.62945,139.74351,265010603,tertiary,,,yes,,,True,,False,legal_forward,265010603,,False,265010603,tertiary,7.837,False
品川→東京,5,35.63012,139.74357,558518250,pedestrian,,,,,,False,highway=pedestrian,False,out_of_scope_no_oneway,558518250,,False,265010600,unclassified,15.518,False
品川→東京,6,35.63051,139.74365,558518250,pedestrian,,,,,,False,highway=pedestrian,False,out_of_scope_no_oneway,558518250,,False,265010600,unclassified,55.485,False
品川→東京,7,35.63065,139.74447,558518249,pedestrian,,,,,,False,highway=pedestrian,False,out_of_scope_no_oneway,558518249,,False,356912946,primary,79.467,False
品川→東京,8,35.6314,139.74456,558518249,pedestrian,,,,,,False,highway=pedestrian,False,out_of_scope_no_oneway,558518249,,False,356912946,primary,19.562,False
品川→東京,9,35.63145,139.74498,1450174835,footway,,,,,,False,highway=footway,False,out_of_scope_axis_misaligned,1450174835,,False,356912946,primary,24.852,False
