label,sample_idx,route_idx,lat,lng,candidate_count,rank1_way_id,rank1_highway,rank1_bicycle,rank1_access,rank1_oneway,rank1_name,rank1_dist_m,rank2_way_id,rank2_highway,rank2_bicycle,rank2_access,rank2_oneway,rank2_name,rank2_dist_m,match_margin_m,match_ambiguous_2m,pair_local_angle_deg,pair_shared_node,pair_pattern,filtered_candidate_count,filtered_rank1_way_id,filtered_rank1_highway,filtered_rank1_dist_m,filtered_rank2_way_id,filtered_rank2_highway,filtered_rank2_dist_m,filtered_margin_m,filtered_ambiguous_2m,ambiguity_changed_2m
新宿→池袋,2,3,35.6905,139.70455,188,39436598,unclassified,,,yes,,0.894,670763643,footway,,,,,1.581,0.687,True,88.8,False,(c) 交差点付近の交差・接続way,85,39436598,unclassified,0.894,886386615,primary,1.608,0.714,True,False
新宿→池袋,3,4,35.69362,139.70649,188,1120796134,primary,,,yes,明治通り,0.566,660599138,footway,,,,新宿三丁目駅,6.603,6.037,False,24.8,False,(d) その他,85,1120796134,primary,0.566,478447612,service,7.561,6.996,False,False
新宿→池袋,4,6,35.6944,139.70669,188,688686080,primary,,,yes,明治通り,2.811,318034646,footway,,,,,7.534,4.723,False,8.5,False,(b) 車道と並走する歩道・自転車道,85,688686080,primary,2.811,1120797513,primary,17.856,15.045,False,False
新宿→池袋,5,7,35.69487,139.7068,188,688686080,primary,,,yes,明治通り,0.867,39436538,unclassified,,,,,2.393,1.526,True,70.5,True,(c) 交差点付近の交差・接続way,85,688686080,primary,0.867,39436538,unclassified,2.393,1.526,True,False
新宿→池袋,6,8,35.69656,139.70716,188,688686080,primary,,,yes,明治通り,0.655,244906595,tertiary,,,,,2.407,1.752,True,89.4,True,(c) 交差点付近の交差・接続way,85,688686080,primary,0.655,244906595,tertiary,2.407,1.752,True,False
新宿→池袋,7,9,35.69793,139.70743,188,688819559,primary,,,yes,明治通り,1.181,697197851,footway,,,,,2.694,1.513,True,88.9,False,(c) 交差点付近の交差・接続way,85,688819559,primary,1.181,39655490,primary,2.705,1.524,True,False
新宿→池袋,8,10,35.69961,139.70777,188,691691444,primary,,,yes,明治通り,0.756,682765997,footway,,,,,1.835,1.079,True,0.7,False,(b) 車道と並走する歩道・自転車道,85,691691444,primary,0.756,39436481,residential,3.183,2.427,False,True
新宿→池袋,9,11,35.70088,139.70799,188,691691444,primary,,,yes,明治通り,1.428,98726948,secondary,,,,大久保通り,1.62,0.192,True,85.8,True,(c) 交差点付近の交差・接続way,85,691691444,primary,1.428,98726948,secondary,1.62,0.192,True,False
新宿→池袋,10,12,35.70197,139.70818,188,415221604,primary,,,yes,明治通り,0.997,1334924028,residential,,,,,2.886,1.89,True,77.2,True,(c) 交差点付近の交差・接続way,85,415221604,primary,0.997,1334924028,residential,2.886,1.89,True,False
新宿→池袋,11,13,35.70344,139.70847,188,415221604,primary,,,yes,明治通り,4.006,94515954,unclassified,,,,,4.024,0.018,True,89.0,True,(c) 交差点付近の交差・接続way,85,415221604,primary,4.006,94515954,unclassified,4.024,0.018,True,False
新宿→池袋,12,14,35.7048,139.70863,188,69518078,residential,,,,,0.357,415221604,primary,,,yes,明治通り,1.253,0.896,True,89.8,True,(c) 交差点付近の交差・接続way,85,69518078,residential,0.357,415221604,primary,1.253,0.896,True,False
新宿→池袋,13,15,35.70842,139.7091,188,688819558,primary,,,,諏訪通り,0.616,415221604,primary,,,yes,明治通り,1.908,1.292,True,87.7,True,(c) 交差点付近の交差・接続way,85,688819558,primary,0.616,415221604,primary,1.908,1.292,True,False
新宿→池袋,14,16,35.71149,139.71,188,683237303,primary,,,yes,明治通り,2.783,415221599,primary,,,yes,早稲田通り,2.804,0.022,True,85.1,True,(c) 交差点付近の交差・接続way,85,683237303,primary,2.783,415221599,primary,2.804,0.022,True,False
新宿→池袋,15,17,35.7128,139.71043,188,415221602,primary,,,yes,明治通り,3.349,117083662,primary,,,yes,明治通り,5.798,2.45,False,7.3,False,(a) 同一道路の分離ウェイ,85,415221602,primary,3.349,117083662,primary,5.798,2.45,False,False
新宿→池袋,16,18,35.71436,139.71133,188,415221602,primary,,,yes,明治通り,1.997,467676904,primary,,,yes,新目白通り,5.151,3.154,False,83.7,True,(c) 交差点付近の交差・接続way,85,415221602,primary,1.997,467676904,primary,5.151,3.154,False,False
新宿→池袋,17,19,35.71551,139.71194,188,97367343,residential,,,,,0.281,156260998,primary,,,yes,明治通り,3.562,3.281,False,71.5,True,(c) 交差点付近の交差・接続way,85,97367343,residential,0.281,156260998,primary,3.562,3.281,False,False
新宿→池袋,18,20,35.71687,139.71251,188,156260998,primary,,,yes,明治通り,1.647,376630575,footway,,,,,3.871,2.224,False,5.5,False,(b) 車道と並走する歩道・自転車道,85,156260998,primary,1.647,648625672,primary,8.63,6.983,False,False
新宿→池袋,19,21,35.71883,139.71341,188,688557393,primary,,,yes,明治通り,0.804,376630575,footway,,,,,5.313,4.51,False,3.0,False,(b) 車道と並走する歩道・自転車道,85,688557393,primary,0.804,228137437,primary,7.435,6.631,False,False
新宿→池袋,20,23,35.71985,139.71322,188,688557393,primary,,,yes,明治通り,0.423,228137437,primary,,,yes,明治通り,5.992,5.568,False,0.2,False,(a) 同一道路の分離ウェイ,85,688557393,primary,0.423,228137437,primary,5.992,5.568,False,False
新宿→池袋,21,24,35.7244,139.71135,188,648625671,primary,,,yes,明治通り,3.575,228180934,primary,,,yes,明治通り,3.651,0.076,True,2.9,False,(a) 同一道路の分離ウェイ,85,648625671,primary,3.575,228180934,primary,3.651,0.076,True,False
新宿→池袋,22,25,35.7252,139.71136,188,228180934,primary,,,yes,明治通り,2.964,648625671,primary,,,yes,明治通り,4.482,1.518,True,0.8,False,(a) 同一道路の分離ウェイ,85,228180934,primary,2.964,648625671,primary,4.482,1.518,True,False
新宿→池袋,23,26,35.72704,139.71183,188,1128023036,primary,,,yes,明治通,1.924,156246572,residential,,,yes,,2.051,0.127,True,87.4,True,(c) 交差点付近の交差・接続way,85,1128023036,primary,1.924,156246572,residential,2.051,0.127,True,False
新宿→池袋,24,27,35.7272,139.71112,188,156246572,residential,,,yes,,0.87,1128023039,footway,,,,池袋駅 西武南口,2.573,1.704,True,88.0,True,(c) 交差点付近の交差・接続way,85,156246572,residential,0.87,1128023036,primary,64.563,63.693,False,True
東京→渋谷,0,0,35.67791,139.76377,342,1450867353,footway,,,,,3.744,387312965,secondary,,,yes,鍛冶橋通り,5.704,1.96,True,0.1,False,(b) 車道と並走する歩道・自転車道,147,387312965,secondary,5.704,254711096,secondary,6.977,1.273,True,False
東京→渋谷,1,1,35.67841,139.76102,342,59266960,trunk,,,yes,日比谷通り,0.23,387312967,secondary,,,yes,鍛冶橋通り,4.652,4.422,False,89.0,True,(c) 交差点付近の交差・接続way,147,59266960,trunk,0.23,387312967,secondary,4.652,4.422,False,False
東京→渋谷,2,2,35.67519,139.75985,342,59266960,trunk,,,yes,日比谷通り,0.259,474593059,footway,,,,,8.642,8.383,False,78.6,True,(c) 交差点付近の交差・接続way,147,59266960,trunk,0.259,1158715737,unclassified,12.041,11.781,False,False
東京→渋谷,3,4,35.67538,139.75892,342,157191451,trunk,,,yes,晴海通り,0.82,45171692,primary,no,,yes,日比谷地下道,7.485,6.665,False,1.1,False,(d) その他,147,157191451,trunk,0.82,459561642,cycleway,11.987,11.167,False,False
東京→渋谷,4,5,35.67745,139.75394,342,206353802,trunk_link,,,yes,桜田通り,1.721,631239776,trunk,,,yes,内堀通り,1.932,0.21,True,15.1,True,(c) 交差点付近の交差・接続way,147,206353802,trunk_link,1.721,631239776,trunk,1.932,0.21,True,False
東京→渋谷,5,6,35.67736,139.75343,342,206353802,trunk_link,,,yes,桜田通り,0.848,583110309,footway,,,,,1.371,0.523,True,59.8,True,(c) 交差点付近の交差・接続way,147,206353802,trunk_link,0.848,813532927,trunk_link,4.45,3.601,False,True
東京→渋谷,6,7,35.67466,139.75165,342,662063657,footway,,,,霞ケ関,1.98,813532923,trunk,,yes,yes,桜田通り,2.332,0.352,True,63.6,False,(c) 交差点付近の交差・接続way,147,813532923,trunk,2.332,24487299,tertiary,3.355,1.023,True,False
