label,way_id,fn_reason,needs_manual_check,point_lat,point_lng,osm_url,oneway,highway,name,osm_tags_raw,start_idx,end_idx,geom_nodes,trimmed_length_m,going_wrong_way,against_votes,direction_votes,angle_way_axis_vs_travel_deg,travel_vector_lng,travel_vector_lat,oneway_bicycle,cycleway,using_edge_ids,diagnosis_detail,overpass_endpoint,match_way_id,match_dist_m,match_margin_m,match_ambiguous
渋谷→新宿,796871114,forward_travel,False,35.679555,139.704628,https://www.openstreetmap.org/way/796871114,yes,primary,明治通り,"foot=no; highway=primary; int_name=Meiji-dori; lit=yes; maxspeed=50; name=明治通り; name:en=Meiji-dori Avenue; name:es=Calle Meiji; name:ja=明治通り; name:ja-Hira=めいじどおり; name:ja-Latn=Meiji-dōri; oneway=yes; ref=305; source=Bing,2007-04; surface=paved",74,80,12,259.59,False,0,11,0.0,-0.001082999999994172,0.0020999999999986585,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.0°・逆走側セグメント 0/11）,overpass-api.de,,,,
渋谷→新宿,798739072,forward_travel,False,35.666464,139.703912,https://www.openstreetmap.org/way/798739072,yes,primary,明治通り,"foot=no; highway=primary; int_name=Meiji-dori; lanes=2; lit=yes; maxspeed=50; name=明治通り; name:en=Meiji Street; name:es=Calle Meiji; name:fr=Rue Meiji; name:ja=明治通り; name:ja-Hira=めいじどおり; name:ja-Latn=Meiji-dōri; name:zh=明治通; oneway=yes; ref=305; sidewalk=left; smoothness=good; source=Bing,2007-04; surface=asphalt; wikidata=Q8011176; wikimedia_commons=Category:Meiji dori (Tokyo); wikipedia=ja:明治通り (東京都)",43,49,23,537.04,False,0,22,0.0,0.0030410000000244963,0.00414299999999912,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.0°・逆走側セグメント 0/22）,overpass-api.de,,,,
渋谷→新宿,798794764,forward_travel,False,35.663908,139.702147,https://www.openstreetmap.org/way/798794764,yes,primary,明治通り,"foot=no; highway=primary; int_name=Meiji-dori; lit=yes; maxspeed=50; name=明治通り; name:en=Meiji Street; name:es=Calle Meiji; name:fr=Rue Meiji; name:ja=明治通り; name:ja-Hira=めいじどおり; name:ja-Latn=Meiji-dōri; oneway=yes; ref=305; source=Bing,2007-04; surface=paved; wikidata=Q8011176",39,43,6,81.62,False,0,5,0.0,0.00019399999999336615,0.0007129999999975212,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.0°・逆走側セグメント 0/5）,overpass-api.de,,,,
渋谷→新宿,798794766,forward_travel,False,35.675615,139.706604,https://www.openstreetmap.org/way/798794766,yes,primary,明治通り,"foot=no; highway=primary; int_name=Meiji-dori; lit=yes; maxspeed=50; name=明治通り; name:en=Meiji Street; name:es=Calle Meiji; name:fr=Rue Meiji; name:ja=明治通り; name:ja-Hira=めいじどおり; name:ja-Latn=Meiji-dōri; oneway=yes; ref=305; sidewalk:left=separate; sidewalk:right=no; source=Bing,2007-04; surface=paved; wikidata=Q8011176",67,74,19,428.98,False,0,18,0.0,-0.0014280000000042037,0.003647000000000844,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.0°・逆走側セグメント 0/18）,overpass-api.de,,,,
渋谷→新宿,860381102,forward_travel,False,35.68036,139.70451,https://www.openstreetmap.org/way/860381102,yes,primary,明治通り,"foot=no; highway=primary; int_name=Meiji-dori; lit=yes; maxspeed=50; name=明治通り; name:en=Meiji-dori Avenue; name:es=Calle Meiji; name:ja=明治通り; name:ja-Hira=めいじどおり; name:ja-Latn=Meiji-dōri; oneway=yes; ref=305; source=Bing,2007-04; surface=paved",80,81,2,11.95,False,0,1,0.3,9.999999974752427e-07,0.00010699999999985721,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.3°・逆走側セグメント 0/1）,overpass-api.de,,,,
渋谷→新宿,860381103,forward_travel,False,35.680747,139.704521,https://www.openstreetmap.org/way/860381103,yes,primary,明治通り,"foot=no; highway=primary; int_name=Meiji-dori; lit=yes; maxspeed=50; name=明治通り; name:en=Meiji-dori Avenue; name:es=Calle Meiji; name:ja=明治通り; name:ja-Hira=めいじどおり; name:ja-Latn=Meiji-dōri; oneway=yes; ref=305; source=Bing,2007-04; surface=paved",81,84,5,125.74,False,0,4,0.0,1.8000000011397788e-05,0.0011299999999963006,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.0°・逆走側セグメント 0/4）,overpass-api.de,,,,
渋谷→新宿,887779305,forward_travel,False,35.689544,139.703847,https://www.openstreetmap.org/way/887779305,yes,unclassified,,highway=unclassified; oneway=yes,99,102,4,27.72,False,0,3,0.2,-0.00020599999999149077,0.00015899999999646752,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.2°・逆走側セグメント 0/3）,overpass-api.de,,,,
渋谷→新宿,924844761,forward_travel,False,35.689623,139.703673,https://www.openstreetmap.org/way/924844761,yes,unclassified,,destination=新宿駅東口; highway=unclassified; oneway=yes,102,103,2,6.7,False,0,1,0.5,-5.400000000577165e-05,-4.2000000000541604e-05,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.5°・逆走側セグメント 0/1）,overpass-api.de,,,,
渋谷→新宿,1061981252,forward_travel,False,35.672722,139.708034,https://www.openstreetmap.org/way/1061981252,yes,primary,明治通り,"foot=no; highway=primary; int_name=Meiji-dori; lanes=2; lit=yes; maxspeed=50; name=明治通り; name:en=Meiji Street; name:es=Calle Meiji; name:fr=Rue Meiji; name:ja=明治通り; name:ja-Hira=めいじどおり; name:ja-Latn=Meiji-dōri; name:zh=明治通; oneway=yes; ref=305; sidewalk:left=separate; sidewalk:right=no; source=Bing,2007-04; surface=paved; wikidata=Q8011176",58,67,12,282.44,False,0,11,0.0,-0.0010819999999966967,0.0023580000000009704,,,True,進行方向照合で順走（way軸と進行方向の角度差 0.0°・逆走側セグメント 0/11）,overpass-api.de,,,,
渋谷→新宿,1061981253,bicycle_exempt,False,35.672111,139.70808,https://www.openstreetmap.org/way/1061981253,yes,primary,明治通り,"foot=no; highway=primary; int_name=Meiji-dori; lanes=2; lit=yes; maxspeed=50; name=明治通り; name:en=Meiji-dori Avenue; name:es=Calle Meiji; name:ja=明治通り; name:ja-Hira=めいじどおり; name:ja-Latn=Meiji-dōri; name:zh=明治通; oneway=yes; oneway:bicycle=no; ref=305; source=Bing,2007-04; surface=paved",57,58,3,16.1,False,0,2,0.1,2.2999999998774e-05,0.00014399999999881175,no,,True,`oneway:bicycle=no`（自転車は一方通行の対象外）,overpass-api.de,,,,
