label,sample_idx,route_idx,lat,lng,margin_m,geometric_ambiguous_2m,decision_tuple_diff,semantic_decision_tuple_diff,decision_impact_ambiguous_2m,violation_flip,violation_flip_ambiguous_2m,rank1_way_id,rank1_highway,rank1_oneway,rank1_oneway_semantic,rank1_direction,rank1_exemption,rank1_status,rank1_violation,rank1_misaligned,rank2_way_id,rank2_highway,rank2_oneway,rank2_oneway_semantic,rank2_direction,rank2_exemption,rank2_status,rank2_violation,rank2_misaligned
新宿→池袋,8,10,35.69961,139.70777,1.079,True,True,True,True,False,False,691691444,primary,yes,forward,with,,legal_forward,False,False,682765997,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
新宿→池袋,9,11,35.70088,139.70799,0.192,True,True,True,True,False,False,691691444,primary,yes,forward,with,,legal_forward,False,False,98726948,secondary,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
新宿→池袋,10,12,35.70197,139.70818,1.89,True,True,True,True,False,False,415221604,primary,yes,forward,with,,legal_forward,False,False,1334924028,residential,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
新宿→池袋,11,13,35.70344,139.70847,0.018,True,True,True,True,False,False,415221604,primary,yes,forward,with,,legal_forward,False,False,94515954,unclassified,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
新宿→池袋,12,14,35.7048,139.70863,0.896,True,True,True,True,False,False,69518078,residential,,none,not_applicable,,out_of_scope_axis_misaligned,False,True,415221604,primary,yes,forward,with,,legal_forward,False,False
新宿→池袋,13,15,35.70842,139.7091,1.292,True,True,True,True,False,False,688819558,primary,,none,not_applicable,,out_of_scope_axis_misaligned,False,True,415221604,primary,yes,forward,with,,legal_forward,False,False
新宿→池袋,14,16,35.71149,139.71,0.022,True,True,True,True,False,False,683237303,primary,yes,forward,with,,legal_forward,False,False,415221599,primary,yes,forward,against,,out_of_scope_axis_misaligned,False,True
新宿→池袋,15,17,35.7128,139.71043,2.45,False,True,True,False,True,False,415221602,primary,yes,forward,with,,legal_forward,False,False,117083662,primary,yes,forward,against,,violation,True,False
新宿→池袋,16,18,35.71436,139.71133,3.154,False,True,True,False,False,False,415221602,primary,yes,forward,with,,legal_forward,False,False,467676904,primary,yes,forward,against,,out_of_scope_axis_misaligned,False,True
新宿→池袋,17,19,35.71551,139.71194,3.281,False,True,True,False,False,False,97367343,residential,,none,not_applicable,,out_of_scope_axis_misaligned,False,True,156260998,primary,yes,forward,with,,legal_forward,False,False
新宿→池袋,18,20,35.71687,139.71251,2.224,False,True,True,False,False,False,156260998,primary,yes,forward,with,,legal_forward,False,False,376630575,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
新宿→池袋,19,21,35.71883,139.71341,4.51,False,True,True,False,False,False,688557393,primary,yes,forward,with,,legal_forward,False,False,376630575,footway,,none,not_applicable,,out_of_scope_no_oneway,False,False
新宿→池袋,20,23,35.71985,139.71322,5.568,False,True,True,False,True,False,688557393,primary,yes,forward,with,,legal_forward,False,False,228137437,primary,yes,forward,against,,violation,True,False
新宿→池袋,21,24,35.7244,139.71135,0.076,True,True,True,True,True,True,648625671,primary,yes,forward,with,,legal_forward,False,False,228180934,primary,yes,forward,against,,violation,True,False
新宿→池袋,22,25,35.7252,139.71136,1.518,True,True,True,True,True,True,228180934,primary,yes,forward,against,,violation,True,False,648625671,primary,yes,forward,with,,legal_forward,False,False
新宿→池袋,23,26,35.72704,139.71183,0.127,True,True,True,True,False,False,1128023036,primary,yes,forward,with,,legal_forward,False,False,156246572,residential,yes,forward,with,,out_of_scope_axis_misaligned,False,True
新宿→池袋,24,27,35.7272,139.71112,1.704,True,True,True,True,False,False,156246572,residential,yes,forward,with,,legal_forward,False,False,1128023039,footway,,none,not_applicable,,out_of_scope_axis_misaligned,False,True
