label,road_type,feature_type,osm_tag,detection_method,corridor_candidates,on_route_way_candidates,on_route_candidates,excluded_count,detected_count,counting_unit,pairs_total,pairs_with_detection,pairs_with_zero_detection,route_distance_m,overpass_snapshot_date,note
立川→国分寺,混在型,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,1,0,0,0,0,OSMノード数（進行方向が適用されるもののみ）,,,,6758.4,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
立川→国分寺,混在型,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,13,2,2,11,1,物理箇所数（クラスタ後）,,,,6758.4,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差11・不明0・tram way0
横浜→みなとみらい,混在型,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,0,0,0,0,0,OSMノード数（進行方向が適用されるもののみ）,,,,2277.7,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
横浜→みなとみらい,混在型,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,5,0,0,5,0,物理箇所数（クラスタ後）,,,,2277.7,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差5・不明0・tram way0
川崎→武蔵小杉,混在型,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,36,16,15,7,8,OSMノード数（進行方向が適用されるもののみ）,,,,8049.3,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
川崎→武蔵小杉,混在型,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,20,0,0,20,0,物理箇所数（クラスタ後）,,,,8049.3,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差20・不明0・tram way0
千葉→幕張本郷,混在型,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,2,0,0,0,0,OSMノード数（進行方向が適用されるもののみ）,,,,8416.1,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
千葉→幕張本郷,混在型,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,2,0,0,2,0,物理箇所数（クラスタ後）,,,,8416.1,2026-08-01T20:21:21Z,一時停止と踏切は合算しない／立体交差2・不明0・tram way0
合計(15ペア),,一時停止,highway=stop / give_way,コリドー20m→垂線距離3m以内→方向適用判定,138,40,33,13,20,OSMノード数（進行方向が適用されるもののみ）,15,10,5,70697.3,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
合計(15ペア),,踏切,railway=rail/light_rail/narrow_gauge との幾何交差,幾何交差→立体交差除外→踏切ノード対応→25mクラスタ,190,7,4,183,2,物理箇所数（クラスタ後）,15,2,13,70697.3,2026-08-01T20:21:21Z,一時停止と踏切は合算しない
