label,sample_idx,route_idx,lat,lng,candidate_count,node_rank1_way_id,node_rank1_group,rank1_way_id,rank1_group,rank1_highway,rank1_oneway,rank1_name,rank1_bicycle,rank1_dist_m,rank2_way_id,rank2_highway,rank2_oneway,rank2_dist_m,match_margin_m,match_ambiguous,rank1_is_nonroad,rank1_bicycle_exempt,rank1_excluded,filt_rank1_way_id,filt_rank1_group,filt_rank1_highway,filt_rank1_oneway,filt_rank1_name,filt_rank1_dist_m,filt_fallback_used,switched,oneway_violation_baseline,oneway_confidence_baseline,oneway_misaligned_baseline,oneway_violation_filtered,oneway_confidence_filtered,oneway_misaligned_filtered,violation_changed,diag_angle_baseline_deg,diag_angle_filtered_deg
新宿→池袋,2,3,35.6905,139.70455,188,39436598,,39436598,,unclassified,yes,,,0.894,670763643,footway,,1.581,0.687,True,False,False,False,39436598,,unclassified,yes,,0.894,False,False,False,0.0,True,False,0.0,True,False,114.5,114.5
新宿→池袋,3,4,35.69362,139.70649,188,1120796134,,1120796134,,primary,yes,明治通り,,0.566,660599138,footway,,6.603,6.037,False,False,False,False,1120796134,,primary,yes,明治通り,0.566,False,False,False,0.0,False,False,0.0,False,False,9.8,9.8
新宿→池袋,4,6,35.6944,139.70669,188,688686080,,688686080,,primary,yes,明治通り,,2.811,318034646,footway,,7.534,4.723,False,False,False,False,688686080,,primary,yes,明治通り,2.811,False,False,False,0.0,False,False,0.0,False,False,5.1,5.1
新宿→池袋,5,7,35.69487,139.7068,188,39436538,,688686080,,primary,yes,明治通り,,0.867,39436538,unclassified,,2.393,1.526,True,False,False,False,688686080,,primary,yes,明治通り,0.867,False,False,False,0.0,False,False,0.0,False,False,3.1,3.1
新宿→池袋,6,8,35.69656,139.70716,188,244906595,,688686080,,primary,yes,明治通り,,0.655,244906595,tertiary,,2.407,1.752,True,False,False,False,688686080,,primary,yes,明治通り,0.655,False,False,False,0.0,False,False,0.0,False,False,2.4,2.4
新宿→池袋,7,9,35.69793,139.70743,188,39655490,,688819559,,primary,yes,明治通り,,1.181,697197851,footway,,2.694,1.513,True,False,False,False,688819559,,primary,yes,明治通り,1.181,False,False,False,0.0,False,False,0.0,False,False,1.8,1.8
新宿→池袋,8,10,35.69961,139.70777,188,39436481,,691691444,,primary,yes,明治通り,,0.756,682765997,footway,,1.835,1.079,True,False,False,False,691691444,,primary,yes,明治通り,0.756,False,False,False,0.0,False,False,0.0,False,False,0.1,0.1
新宿→池袋,9,11,35.70088,139.70799,188,98726948,,691691444,,primary,yes,明治通り,,1.428,98726948,secondary,,1.62,0.192,True,False,False,False,691691444,,primary,yes,明治通り,1.428,False,False,False,0.0,False,False,0.0,False,False,1.0,1.0
新宿→池袋,10,12,35.70197,139.70818,188,415221604,,415221604,,primary,yes,明治通り,,0.997,1334924028,residential,,2.886,1.89,True,False,False,False,415221604,,primary,yes,明治通り,0.997,False,False,False,0.0,False,False,0.0,False,False,2.5,2.5
新宿→池袋,11,13,35.70344,139.70847,188,94515954,,415221604,,primary,yes,明治通り,,4.006,94515954,unclassified,,4.024,0.018,True,False,False,False,415221604,,primary,yes,明治通り,4.006,False,False,False,0.0,False,False,0.0,False,False,0.9,0.9
