label,sample_idx,route_idx,lat,lng,way_id,oneway,match_margin_m,old_oneway_violation,new_oneway_violation,unchanged
品川→東京,0,0,35.62877,139.74184,680899281,yes,8.428,False,False,True
品川→東京,1,2,35.6289,139.74222,172281628,yes,0.003,False,False,True
品川→東京,2,5,35.62903,139.74278,172281627,,1.179,False,False,True
品川→東京,3,6,35.62949,139.74285,172281624,,0.834,False,False,True
品川→東京,4,7,35.62945,139.74351,265010603,yes,0.865,False,False,True
品川→東京,5,8,35.63012,139.74357,558518250,,1.304,False,False,True
品川→東京,6,11,35.63051,139.74365,558518250,,17.212,False,False,True
品川→東京,7,14,35.63065,139.74447,558518249,,44.385,False,False,True
品川→東京,8,15,35.6314,139.74456,558518249,,43.581,False,False,True
品川→東京,9,18,35.63145,139.74498,1450174835,,6.723,False,False,True
品川→東京,10,21,35.63329,139.74537,230895574,yes,4.709,False,False,True
品川→東京,11,22,35.63741,139.74669,211690605,yes,1.594,False,False,True
品川→東京,12,23,35.63939,139.74728,211690605,yes,0.314,False,False,True
品川→東京,13,24,35.64115,139.74788,23690234,,3.709,False,False,True
品川→東京,14,25,35.64181,139.7482,176674159,yes,0.791,False,False,True
品川→東京,15,27,35.64294,139.75077,59973392,,0.445,False,False,True
品川→東京,16,28,35.64296,139.75235,421300042,yes,2.073,False,False,True
品川→東京,17,29,35.6483,139.75493,1033723439,yes,1.814,False,False,True
品川→東京,18,30,35.64862,139.75466,741785139,yes,5.018,True,True,True
品川→東京,19,31,35.64911,139.75297,1033723439,yes,0.497,False,False,True
品川→東京,20,32,35.65107,139.75374,656235283,yes,3.349,False,False,True
品川→東京,21,33,35.66028,139.75507,253812419,yes,4.972,False,False,True
品川→東京,22,34,35.6608,139.75546,253812419,yes,6.021,False,False,True
品川→東京,23,35,35.66371,139.75792,4848932,yes,0.893,False,False,True
品川→東京,24,36,35.66676,139.76034,253812422,yes,0.537,False,False,True
品川→東京,25,37,35.66705,139.76072,667962674,yes,6.09,False,False,True
品川→東京,26,38,35.66833,139.76194,196380141,yes,6.042,False,False,True
品川→東京,27,39,35.66991,139.76364,196380141,yes,2.19,False,False,True
品川→東京,28,40,35.67125,139.76499,1090618166,yes,0.552,False,False,True
品川→東京,29,41,35.67476,139.76873,1026056857,yes,2.79,False,False,True
品川→東京,30,42,35.67536,139.76923,40969586,yes,1.457,False,False,True
品川→東京,31,43,35.67616,139.76965,1070720653,yes,0.081,False,False,True
品川→東京,32,44,35.67721,139.76717,203572465,yes,2.623,False,False,True
品川→東京,33,45,35.67722,139.76665,676291216,yes,5.943,False,False,True
品川→東京,34,46,35.67738,139.76579,1485371598,,3.874,False,False,True
品川→東京,35,47,35.67741,139.76558,1360102103,,0.545,False,False,True
渋谷→六本木,0,0,35.65792,139.70354,680253718,,2.796,False,False,True
渋谷→六本木,1,1,35.65798,139.7042,664881024,,5.538,False,False,True
渋谷→六本木,2,4,35.65761,139.70435,211402007,yes,32.563,False,False,True
渋谷→六本木,3,6,35.6575,139.70475,611222110,yes,0.837,False,False,True
渋谷→六本木,4,7,35.65751,139.70557,611222110,yes,47.841,False,False,True
渋谷→六本木,5,9,35.65728,139.70615,611222110,yes,6.198,False,False,True
渋谷→六本木,6,11,35.65718,139.70693,141293460,,0.758,False,False,True
渋谷→六本木,7,12,35.65682,139.70752,141293470,,1.185,False,False,True
渋谷→六本木,8,13,35.6585,139.70853,852978900,yes,1.303,False,False,True
渋谷→六本木,9,14,35.65956,139.71978,934924985,yes,1.637,False,False,True
渋谷→六本木,10,15,35.65969,139.72083,934924985,yes,6.438,False,False,True
渋谷→六本木,11,16,35.65973,139.72263,934924985,yes,3.164,False,False,True
渋谷→六本木,12,17,35.66005,139.72437,852789786,yes,1.595,False,False,True
渋谷→六本木,13,18,35.66146,139.72831,888162707,yes,0.845,False,False,True
渋谷→六本木,14,19,35.6621,139.72956,271979242,yes,2.229,False,False,True
渋谷→六本木,15,20,35.66324,139.73207,927004531,yes,4.278,False,False,True
下北沢→三軒茶屋,0,0,35.66155,139.66772,41949455,yes,0.464,False,False,True
下北沢→三軒茶屋,1,1,35.66121,139.66946,31824941,,3.785,False,False,True
下北沢→三軒茶屋,2,2,35.66018,139.66883,31824941,,0.241,False,False,True
下北沢→三軒茶屋,3,3,35.65847,139.66828,31824941,,4.816,False,False,True
下北沢→三軒茶屋,4,4,35.65767,139.66775,1455713691,,1.756,False,False,True
下北沢→三軒茶屋,5,5,35.65602,139.66749,1455713691,,1.652,False,False,True
下北沢→三軒茶屋,6,6,35.65539,139.66749,32623771,,0.09,False,False,True
下北沢→三軒茶屋,7,7,35.65502,139.66727,1455713691,,5.058,False,False,True
下北沢→三軒茶屋,8,8,35.65433,139.6672,174526353,,1.989,False,False,True
下北沢→三軒茶屋,9,9,35.65305,139.66719,174526353,,0.178,False,False,True
下北沢→三軒茶屋,10,10,35.65086,139.66731,174526353,,0.242,False,False,True
下北沢→三軒茶屋,11,11,35.64963,139.66772,900818661,,0.52,False,False,True
下北沢→三軒茶屋,12,12,35.64551,139.67034,26950358,,0.362,False,False,True
下北沢→三軒茶屋,13,13,35.6436,139.67107,1034261843,,0.549,False,False,True
下北沢→三軒茶屋,14,14,35.64365,139.67116,1034261845,yes,0.739,False,False,True
高円寺→中野,0,0,35.70566,139.65054,328155326,,1.309,False,False,True
高円寺→中野,1,2,35.70553,139.65197,177661137,yes,1.026,False,False,True
高円寺→中野,2,3,35.70567,139.65762,107538703,,2.047,False,False,True
高円寺→中野,3,5,35.70544,139.65818,223300003,,0.205,False,False,True
高円寺→中野,4,6,35.7055,139.66049,62263412,yes,41.531,False,False,True
高円寺→中野,5,7,35.70549,139.66169,49175544,,12.944,False,False,True
高円寺→中野,6,8,35.70544,139.66273,49175544,,2.72,False,False,True
高円寺→中野,7,9,35.70545,139.66424,49175544,,1.553,False,False,True
高円寺→中野,8,11,35.70544,139.66536,948945646,,3.29,False,False,True
高円寺→中野,9,12,35.70613,139.66535,687171297,,0.137,False,False,True
荻窪→阿佐ヶ谷,0,0,35.70425,139.62101,131838513,yes,4.346,False,False,True
荻窪→阿佐ヶ谷,1,1,35.70435,139.62172,131838512,yes,3.878,False,False,True
荻窪→阿佐ヶ谷,2,2,35.70437,139.62238,1071007332,yes,0.502,False,False,True
荻窪→阿佐ヶ谷,3,3,35.7044,139.62297,80832757,,4.063,False,False,True
荻窪→阿佐ヶ谷,4,4,35.70354,139.62639,1352004080,,2.76,False,False,True
荻窪→阿佐ヶ谷,5,6,35.70328,139.62749,168918384,yes,0.458,False,False,True
荻窪→阿佐ヶ谷,6,7,35.70383,139.62758,80833688,,1.276,False,False,True
荻窪→阿佐ヶ谷,7,8,35.70368,139.62866,80834023,,0.037,False,False,True
荻窪→阿佐ヶ谷,8,10,35.7038,139.6305,80835345,,14.576,False,False,True
荻窪→阿佐ヶ谷,9,11,35.7037,139.63123,80835345,,1.131,False,False,True
荻窪→阿佐ヶ谷,10,13,35.70401,139.63283,80835360,yes,1.598,True,True,True
荻窪→阿佐ヶ谷,11,14,35.70462,139.63456,87704269,yes,1.746,False,False,True
荻窪→阿佐ヶ谷,12,16,35.70456,139.635,194848488,,1.037,False,False,True
荻窪→阿佐ヶ谷,13,18,35.7047,139.63559,87703816,,0.95,False,False,True
自由が丘→等々力,0,0,35.60767,139.66856,287033954,yes,6.211,False,False,True
自由が丘→等々力,1,3,35.60656,139.6681,25533292,yes,0.156,False,False,True
自由が丘→等々力,2,4,35.60661,139.66757,350353685,yes,2.91,True,True,True
自由が丘→等々力,3,7,35.60616,139.66722,1337624814,,1.069,False,False,True
自由が丘→等々力,4,8,35.60643,139.66625,1337624814,,0.177,False,False,True
自由が丘→等々力,5,9,35.60601,139.66498,48903694,,0.883,False,False,True
自由が丘→等々力,6,11,35.60546,139.66304,1337624815,,1.261,False,False,True
自由が丘→等々力,7,12,35.60861,139.6495,59266136,,1.187,False,False,True
自由が丘→等々力,8,14,35.60826,139.64885,47483021,,1.566,False,False,True
自由が丘→等々力,9,15,35.60857,139.64751,47483021,,0.918,False,False,True
浦和→さいたま新都心,0,0,35.85878,139.65799,916790137,yes,4.962,False,False,True
浦和→さいたま新都心,1,2,35.85906,139.65813,1444864905,yes,0.505,False,False,True
浦和→さいたま新都心,2,5,35.85991,139.6569,325347769,yes,0.701,False,False,True
浦和→さいたま新都心,3,6,35.86051,139.65648,299401402,,25.784,False,False,True
浦和→さいたま新都心,4,7,35.86101,139.65633,299401402,,42.935,False,False,True
浦和→さいたま新都心,5,8,35.86137,139.65614,771672190,,1.154,False,False,True
浦和→さいたま新都心,6,9,35.86593,139.65308,100148369,,0.163,False,False,True
浦和→さいたま新都心,7,10,35.86644,139.65293,1263030291,,0.123,False,False,True
浦和→さいたま新都心,8,13,35.86665,139.65262,1378604847,,1.8,False,False,True
浦和→さいたま新都心,9,17,35.86766,139.6515,100148347,,1.356,False,False,True
浦和→さいたま新都心,10,18,35.86815,139.6512,100148347,,16.027,False,False,True
浦和→さいたま新都心,11,20,35.86828,139.65085,771672193,,2.542,False,False,True
浦和→さいたま新都心,12,21,35.87001,139.64949,100400218,,1.129,False,False,True
浦和→さいたま新都心,13,22,35.86979,139.64907,312590910,no,0.825,False,False,True
浦和→さいたま新都心,14,23,35.87263,139.64713,484454198,,0.519,False,False,True
浦和→さいたま新都心,15,24,35.87646,139.64517,323017083,no,2.047,False,False,True
浦和→さいたま新都心,16,25,35.88068,139.64305,323017083,no,5.031,False,False,True
浦和→さいたま新都心,17,26,35.88224,139.64189,1429907953,,2.671,False,False,True
浦和→さいたま新都心,18,27,35.88749,139.63856,1393674973,,3.275,False,False,True
浦和→さいたま新都心,19,28,35.89348,139.63469,1393674972,,2.259,False,False,True
浦和→さいたま新都心,20,29,35.89411,139.63417,285614711,,1.964,False,False,True
吉祥寺→三鷹,0,0,35.70293,139.57722,1253983170,,0.063,False,False,True
吉祥寺→三鷹,1,1,35.70566,139.56803,145130502,,0.095,False,False,True
吉祥寺→三鷹,2,2,35.70369,139.56694,145130484,,0.485,False,False,True
吉祥寺→三鷹,3,3,35.70352,139.56092,1527420839,yes,2.303,False,False,True
吉祥寺→三鷹,4,4,35.70333,139.56089,1527420839,yes,0.392,False,False,True
立川→国分寺,0,0,35.69665,139.4128,853388885,yes,3.984,True,True,True
立川→国分寺,1,1,35.69566,139.41228,742524875,yes,0.867,False,False,True
立川→国分寺,2,2,35.69174,139.42325,81601827,yes,2.299,False,False,True
立川→国分寺,3,3,35.69153,139.42453,1429406683,yes,2.222,True,True,True
立川→国分寺,4,4,35.69157,139.4252,138427587,yes,7.747,False,False,True
立川→国分寺,5,5,35.6915,139.42711,138427588,yes,8.334,False,False,True
立川→国分寺,6,7,35.69124,139.42831,81601830,,3.171,False,False,True
立川→国分寺,7,8,35.69027,139.43143,81848141,,0.988,False,False,True
立川→国分寺,8,9,35.69016,139.43212,81848141,,58.962,False,False,True
立川→国分寺,9,10,35.69022,139.43395,81848141,,0.835,False,False,True
立川→国分寺,10,11,35.69165,139.43391,84272034,,0.002,False,False,True
立川→国分寺,11,12,35.69184,139.43967,84271997,yes,0.278,False,False,True
立川→国分寺,12,13,35.69114,139.4397,237757473,,0.659,False,False,True
立川→国分寺,13,14,35.69135,139.44677,135230359,,0.584,False,False,True
立川→国分寺,14,15,35.69205,139.44675,84271956,,0.694,False,False,True
立川→国分寺,15,17,35.69359,139.44711,53348166,yes,0.273,False,False,True
立川→国分寺,16,18,35.69382,139.45489,172480046,yes,0.216,False,False,True
立川→国分寺,17,19,35.69437,139.45488,84271954,,0.114,False,False,True
立川→国分寺,18,20,35.69447,139.45796,728187456,,8.575,False,False,True
立川→国分寺,19,21,35.69432,139.45997,728187456,,3.816,False,False,True
立川→国分寺,20,22,35.69408,139.4623,161965524,,3.151,False,False,True
立川→国分寺,21,24,35.69483,139.46397,172480150,,1.782,False,False,True
立川→国分寺,22,26,35.69506,139.46456,161954712,,16.101,False,False,True
立川→国分寺,23,27,35.69541,139.46619,161954672,,0.608,False,False,True
立川→国分寺,24,28,35.69604,139.4692,1346808669,,0.168,False,False,True
立川→国分寺,25,29,35.69628,139.47058,1427049474,,4.899,False,False,True
立川→国分寺,26,30,35.69655,139.47463,161954707,,4.079,False,False,True
立川→国分寺,27,31,35.69646,139.47531,161954707,,6.704,False,False,True
立川→国分寺,28,32,35.69662,139.47615,258865968,,1.479,False,False,True
立川→国分寺,29,33,35.69728,139.47745,161954368,,0.487,False,False,True
立川→国分寺,30,34,35.69796,139.47823,1427049470,,2.591,False,False,True
立川→国分寺,31,35,35.69856,139.4793,161953646,,0.837,False,False,True
